AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
;0;;;;0,0418;36,47058868;28;100;802,5;10,30000019;14;0,0118;;0;0;0
;0;;;;0,0713;36,47058868;28;100;802,5;10,30000019;14;-0,0023;;0;0;0
;0;;;;0,0952;36,47058868;29;100;798,5;10,23999977;14;-0,0135;;0;0;0
;0;;;;0,1136;36,47058868;29;100;798,5;10,23999977;15;-0,0161;;0;0;0
;0;;;;0,1274;36,47058868;29;100;804,5;10,35999966;15;-0,016;;0;0;0
;0;;;;0,1396;36,47058868;29;100;804,5;10,35999966;15;-0,0147;;0;0;0
;0;;;;0,1589;36,47058868;29;100;800,5;10,32999992;15;-0,0108;;0;0;0
;0;;;;0,1951;36,07843018;29;100;800;10,32999992;15;-0,0209;;0;0;0
;0;;;;0,2408;36,07843018;29;100;800;10,40999985;15;-0,0446;;0;0;0
-2,800003052;0;;;;0,279;36,47058868;29;100;782;10,22000027;15;-0,0571;;0;0;0
-1,999992371;0;;;;0,2873;37,64706039;29;100;782;10,22000027;15;-0,0211;;0;0;0
-0,400001526;0;;;;0,3319;37,64706039;29;100;804,5;10,27000046;15;-0,0339;169,9409027;0;0;0
0,100006104;2,699999809;;;2,699999809;0,3903;39,60784531;29;100;800;10,27000046;15;-0,0716;169,9409027;0;0;0
0,300003052;0;;;-2,699999809;0,4483;39,60784531;29;100;800;10,35999966;15;-0,1005;170,6822815;0;0;0
1,400001526;0;;;0;0,5168;37,64706039;29;100;796;10,10999966;15;-0,1584;170,6822815;0;0;0
3,000007629;0;;;0;0,5821;44,31372452;29;100;796;10,10999966;15;-0,2039;170,6822815;0;0;0
3,400001526;0,899999976;;;0,899999976;0,6752;44,31372452;29;100;860;10,40999985;15;-0,2335;170,6822815;0;0;0
4,300003052;0,899999976;;;0;0,7527;38,82352829;29;100;860;10,40999985;15;-0,2753;170,6822815;0;0;0
6,5;0;;;-0,899999976;0,9187;38,82352829;29;101;705,5;9,68999958;15;-0,3283;170,6822815;0;0;0
7,400001526;0;;;0;0,989;58,8235321;29;101;705,5;9,68999958;15;-0,3962;170,6822815;0;0;0
8,499992371;0;;;0;0,9556;58,8235321;29;101;841,5;6,71999979;15;-0,4177;144,8530121;0;0;0
